municipality,id,n,mean_age,mean_gross_income_percentile,prop_female,prop_both_parents_abroad,prop_one_parent_abroad,prop_vocational_edu,prop_higher_vocational_edu,prop_bachelor_edu,prop_master_doctorate_edu,n_female,n_both_parents_abroad,n_one_parent_abroad,n_vocational_edu,n_higher_vocational_edu,n_bachelor_edu,n_master_doctorate_edu
's-Gravenhage,248,547055,43.011163411357174,50.123219148181825,0.5026807176609299,0.4681010136092349,0.09279322919998903,0.1266399173757666,0.27155587646580326,0.147014468380693,0.1269616400544735,274994,256077,50763,69279,148556,80425,69455
's-Hertogenbosch,209,155198,45.481713681877345,52.83762508233016,0.5053802239719584,0.14512429283882525,0.06694673900436861,0.12782381216252786,0.28088635162824266,0.19645227386950861,0.13148365313986005,78434,22523,10390,19838,43593,30489,20406
Aa en Hunze,275,25350,50.829861932938854,50.25271778171543,0.49972386587771206,0.031045364891518736,0.03479289940828403,0.12662721893491125,0.35088757396449705,0.19234714003944772,0.09167652859960553,12668,787,882,3210,8895,4876,2324
Aalsmeer,134,31926,45.71599949884107,53.416254222641214,0.5024744722170018,0.1490008143832613,0.0658710768652509,0.13857044415210173,0.31397606966109126,0.16660402180041345,0.08331767211677003,16042,4757,2103,4424,10024,5319,2660
Aalten,346,27083,47.99778458811801,47.35053655874864,0.4963999556917624,0.054942214673411365,0.06018535612746003,0.15293726692020826,0.37303843739615256,0.14688180777609572,0.04482516707897943,13444,1488,1630,4142,10103,3978,1214
Achtkarspelen,336,27858,45.82450283581018,45.55568763716167,0.4903797831861584,0.025091535645057075,0.02053270155790078,0.1648718500969201,0.38060880178045803,0.11476057146959581,0.031265704644985286,13661,699,572,4593,10603,3197,871
Alblasserdam,136,20117,44.80906695829398,49.64398976982097,0.5086245464035393,0.10404135805537605,0.050106874782522244,0.14515086742556046,0.34985335785653926,0.13451309837450912,0.042551076204205396,10232,2093,1008,2920,7038,2706,856
Albrandswaard,331,25798,45.39235599658888,56.65378405650858,0.5038375067834716,0.1460965966353981,0.07799054190247307,0.12853709589890688,0.30800837274207304,0.1796263276222963,0.08376618342507171,12998,3769,2012,3316,7946,4634,2161
Alkmaar,137,109719,46.31017417220354,51.46967462232949,0.5053454734366882,0.15195180415424858,0.07682352190595977,0.1317456411378157,0.3303165358780157,0.18931087596496504,0.08168138608627494,55446,16672,8429,14455,36242,20771,8962
Almelo,189,73016,46.06273967349622,45.89491508030171,0.49906869727183084,0.19636791936014025,0.07166922318395968,0.15695190095321573,0.3561822066396406,0.135983893941054,0.047030787772543006,36440,14338,5233,11460,26007,9929,3434
