education,utility_mean,utility_sd,edge_count,decile_0,decile_1,decile_2,decile_3,decile_4,decile_5,decile_6,decile_7,decile_8,decile_9,filename
0,0.00009717952483888179,0.0037999151936398182,715341896,-0.004007974321805153,-0.003170002261721858,-0.0026230095155109767,-0.002066353848128101,-0.0014369534379621188,-0.0006706941630823718,0.0003285246253239631,0.0017463730705561049,0.004027347342855184,0.008844537795747223,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim17_education_edge_similarity.csv
1,0.0000766104294833012,0.003635017158529097,569899760,-0.003905345911536573,-0.0030857439298106,-0.002534684054355359,-0.001978936843758558,-0.0013555693269579814,-0.0006051950704407123,0.00035768074402508273,0.0016928196861801027,0.003786085659896691,0.008394993341591722,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim17_education_edge_similarity.csv
2,-0.0002250888547829069,0.00343736223442534,303138042,-0.003977143101313192,-0.0031690363535026287,-0.0026497610632482153,-0.002136277906728027,-0.001564821161698206,-0.0008783397442148634,3.2752861046176626e-6,0.0012322347949713496,0.003196110053099992,0.007692870704213499,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim17_education_edge_similarity.csv
3,0.0002707105782188025,0.0035067974103064913,94184912,-0.003638195729377535,-0.002794010962059057,-0.0022386341868550516,-0.0016906306308843502,-0.0010843379131614058,-0.0003628374578548029,0.0005550166746625317,0.001831377883498318,0.0038610958950247836,0.008268262387250798,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim17_education_edge_similarity.csv
4,0.0020372230285699,0.00433437632788454,38114008,-0.003247184195573505,-0.002179855190609911,-0.001386881561913406,-0.0005661129183876759,0.0003647969488368392,0.0014876384906915665,0.002912910596906337,0.004772691225395154,0.007190404980620031,0.011023822881076421,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim17_education_edge_similarity.csv
0,-0.00040881750194016165,0.0030464455589592257,715341896,-0.0037753872924234876,-0.0029334237994787927,-0.0024447940432855008,-0.001995699037864679,-0.0015177242203413337,-0.0009603723485132131,-0.0002601598761148297,0.0007174490085131847,0.0023733294757001446,0.006708607146735959,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim21_education_edge_similarity.csv
1,-0.0004249765860699031,0.002963003685926104,569899760,-0.003713206237800897,-0.002872199265249325,-0.0023955890590038643,-0.001959500251057489,-0.0014973347897694544,-0.0009600007768538186,-0.0002834639571575456,0.0006648411065449472,0.0022671837678596334,0.006499503601785367,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim21_education_edge_similarity.csv
2,-0.0003873271600767098,0.0030475641942141977,303138042,-0.003764630730467801,-0.0029142478091907305,-0.002433083453390907,-0.001989790436452282,-0.001514900964220766,-0.000956320398265253,-0.0002451014229928833,0.0007606051060022087,0.0024580108835371376,0.006726187672846007,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim21_education_edge_similarity.csv
3,-0.00042053032133380897,0.0030231820176105824,94184912,-0.003711694988867891,-0.0029028763907609904,-0.0024449513708017217,-0.0020211413420609665,-0.001562453500590387,-0.0010153792245942593,-0.000309812184033803,0.0006973172717579311,0.002406926030991571,0.006658762643810128,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim21_education_edge_similarity.csv
4,-0.0004781210908132596,0.0028612742981034118,38114008,-0.00358290587486674,-0.0028334564768007216,-0.0024051728920141337,-0.0020033659251863767,-0.0015674011043947092,-0.0010460872932709486,-0.00037002106794029055,0.0006028127463130158,0.0022402595794798704,0.006184128333922901,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim21_education_edge_similarity.csv
0,0.00024023770330291007,0.0035559163722759498,715341896,-0.0035707421548102024,-0.0026972056421910567,-0.002131791493075135,-0.0015967654304812795,-0.0010305578289061007,-0.00038442441857467656,0.00041511765590994767,0.001515487357951626,0.0033273660069120707,0.008555893020029907,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim27_education_edge_similarity.csv
1,0.00006560487750925222,0.0034165156633069846,569899760,-0.0035013482704511355,-0.0026961363750746163,-0.0021759214865182917,-0.001685105863883076,-0.0011648999177864344,-0.0005684550389630556,0.00017335178232351765,0.001207023618505706,0.0029555989231184496,0.008111941403821848,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim27_education_edge_similarity.csv
2,0.000205817349282523,0.0036414270461290503,303138042,-0.0035683305212995753,-0.002746363153716567,-0.002212034858057103,-0.00170602250029452,-0.0011633003285895249,-0.0005282307246134086,0.00028288870317199537,0.0014424248543722146,0.003431087170277056,0.00882605491210066,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim27_education_edge_similarity.csv
3,-0.00038957737123044385,0.003198151989760812,94184912,-0.0037121170999792857,-0.002958406893491711,-0.0024765514974215913,-0.0020290849498998042,-0.001555566869190078,-0.0010061245637589741,-0.00031166737367694893,0.0006690388767804433,0.0023402327046399963,0.007144474119495091,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim27_education_edge_similarity.csv
4,-0.0007906023293953208,0.0029504588928002356,38114008,-0.0037620394868820768,-0.0030754639594796638,-0.0026511364320620655,-0.0022643124064706437,-0.0018576544796781189,-0.001384525837136569,-0.0007793998022561243,0.00008797146028426487,0.0015895307068969123,0.006191007994983565,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim27_education_edge_similarity.csv
0,-0.0004802803934310688,0.0033367042310634134,715341896,-0.003740561949277581,-0.0029785378226206104,-0.0025108404162746626,-0.0020849263641607905,-0.0016496462407482374,-0.0011625061024833272,-0.0005592482851084881,0.000302954648123368,0.0018869236102674644,0.007693585033122858,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim3_education_edge_similarity.csv
1,-0.0003543246489902162,0.003341137198592247,569899760,-0.003591905468864221,-0.0028348695638084308,-0.002380952052521768,-0.001967891530744332,-0.0015431710756663105,-0.0010640046310994736,-0.00046759419926324305,0.0003898448466673412,0.0019989765982053593,0.007918320587196064,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim3_education_edge_similarity.csv
2,-0.0003117833137188895,0.0033781597567058832,303138042,-0.0036143466464267364,-0.002846860452869609,-0.0023864208218438805,-0.001963832695168147,-0.0015267929932611182,-0.0010311597329486551,-0.0004096130017378158,0.0004895601881754034,0.0021546260180409825,0.008017007058575134,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim3_education_edge_similarity.csv
3,-0.0004421777262309413,0.00323127357554146,94184912,-0.003576957425832011,-0.0028552833091650574,-0.0024180880169865373,-0.0020140127415090338,-0.0015934054397760374,-0.0011152405896458135,-0.0005170065743165562,0.00033777323228696693,0.0018686111188035526,0.007461832658662098,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim3_education_edge_similarity.csv
4,-0.0006480730716086272,0.0028724615897618897,38114008,-0.0035252210373413963,-0.002841349714150116,-0.0024233309105388236,-0.002034644109144439,-0.0016296843824077944,-0.0011734735590055276,-0.0006128497992925377,0.00015867392277634074,0.0014536201671108537,0.006147529733996623,collapsed_2021_len20_window5_walks100_dim32_dine_utilities_dim3_education_edge_similarity.csv
0,0.000356084994032301,0.004760759073947097,733988664,-0.005228386371360888,-0.0041415245947591,-0.00332841562812264,-0.002492529674783592,-0.0015462959165953478,-0.0003959320889626085,0.0010972429279645854,0.0031386467189791663,0.005957413032091603,0.010500631525577852,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim12_education_edge_similarity.csv
1,0.00030422357732484305,0.004672231811238918,589855544,-0.005089977547837554,-0.004066070808985099,-0.0032915532863465606,-0.0024965198771140468,-0.001595803372412415,-0.0004946380432499924,0.0009538391944658885,0.0029813002608378852,0.005816075965362146,0.010325583277249608,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim12_education_edge_similarity.csv
2,0.0003834229343223461,0.004772027675969659,314502056,-0.005103271880226528,-0.0040825141050756944,-0.00330652438425888,-0.002507855469117038,-0.0015958560905713374,-0.00046426104527199697,0.0010531998608686512,0.0031895616377797757,0.006095627822818786,0.010556123074640414,collapsed_2022_len20_window2_walks100_dim32_dine_utilities_dim12_education_edge_similarity.csv
