predictor,decile,mean_importance_missing,mean_predictor,n,mean_importance_non_populist,mean_importance_not_voted,mean_importance_populist,filename,model
cbs_age,0,,0.26401921777644294,519,-0.0382833535960644,,,cv24p307_voting_behavior_populist_xgb_covariates_collapsed_2021_len20_window5_walks100_dim32_feature_importance.csv,covariates
cbs_age,0,,0.32427495433275766,519,,,-0.013186818602457212,cv24p307_voting_behavior_populist_xgb_covariates_collapsed_2021_len20_window5_walks100_dim32_feature_importance.csv,covariates
cbs_age,0,0.0,0.459575106973951,519,,,,cv24p307_voting_behavior_populist_xgb_covariates_collapsed_2021_len20_window5_walks100_dim32_feature_importance.csv,covariates
cbs_age,0,,0.7555989290093346,519,,-0.06365378789589354,,cv24p307_voting_behavior_populist_xgb_covariates_collapsed_2021_len20_window5_walks100_dim32_feature_importance.csv,covariates
cbs_age,1,,0.3150099900099902,520,-0.027393014614398664,,,cv24p307_voting_behavior_populist_xgb_covariates_collapsed_2021_len20_window5_walks100_dim32_feature_importance.csv,covariates
cbs_age,1,,0.4169080919080918,520,,,-0.0070953855147728555,cv24p307_voting_behavior_populist_xgb_covariates_collapsed_2021_len20_window5_walks100_dim32_feature_importance.csv,covariates
cbs_age,1,0.0,0.4473276723276727,520,,,,cv24p307_voting_behavior_populist_xgb_covariates_collapsed_2021_len20_window5_walks100_dim32_feature_importance.csv,covariates
cbs_age,1,,0.6938061938061945,520,,-0.050477225963885965,,cv24p307_voting_behavior_populist_xgb_covariates_collapsed_2021_len20_window5_walks100_dim32_feature_importance.csv,covariates
cbs_age,2,,0.19882617382617374,520,,,-0.0039219498634338375,cv24p307_voting_behavior_populist_xgb_covariates_collapsed_2021_len20_window5_walks100_dim32_feature_importance.csv,covariates
cbs_age,2,,0.4028221778221779,520,-0.024192644999577448,,,cv24p307_voting_behavior_populist_xgb_covariates_collapsed_2021_len20_window5_walks100_dim32_feature_importance.csv,covariates
cbs_age,2,0.0,0.48121878121878114,520,,,,cv24p307_voting_behavior_populist_xgb_covariates_collapsed_2021_len20_window5_walks100_dim32_feature_importance.csv,covariates
cbs_age,2,,0.6239510489510492,520,,-0.04143251272348257,,cv24p307_voting_behavior_populist_xgb_covariates_collapsed_2021_len20_window5_walks100_dim32_feature_importance.csv,covariates
cbs_age,3,,0.23973526473526494,520,-0.018689885506263146,,,cv24p307_voting_behavior_populist_xgb_covariates_collapsed_2021_len20_window5_walks100_dim32_feature_importance.csv,covariates
cbs_age,3,0.0,0.44682817182817214,520,,,,cv24p307_voting_behavior_populist_xgb_covariates_collapsed_2021_len20_window5_walks100_dim32_feature_importance.csv,covariates
cbs_age,3,,0.5495504495504497,520,,,-0.002617625777538006,cv24p307_voting_behavior_populist_xgb_covariates_collapsed_2021_len20_window5_walks100_dim32_feature_importance.csv,covariates
cbs_age,3,,0.589335664335664,520,,-0.03489835445697491,,cv24p307_voting_behavior_populist_xgb_covariates_collapsed_2021_len20_window5_walks100_dim32_feature_importance.csv,covariates
