variable,level,n_label,n,prop_label
cbs_num_parents_abroad_3_cat,zero,,6063,
cbs_num_parents_abroad_3_cat,both,816,6063,0.13458683819891143
cbs_num_parents_abroad_3_cat,one,529,6063,0.08725053603826488
cbs_num_parents_abroad_3_cat,,,6063,
cbs_gender_2_cat,female,3254,6063,0.5366980042883062
cbs_gender_2_cat,male,,6063,
cbs_gender_2_cat,,,6063,
cv24p307_voting_behavior,gl/pvda,941,6063,0.15520369454065644
cv24p307_voting_behavior,pvv,855,6063,0.14101929737753588
cv24p307_voting_behavior,missing,826,6063,0.13623618670625104
cv24p307_voting_behavior,vvd,683,6063,0.11265050305129475
cv24p307_voting_behavior,nsc,628,6063,0.10357908626092693
cv24p307_voting_behavior,not_voted,520,6063,0.08576612238165925
cv24p307_voting_behavior,d66,310,6063,0.05112980372752763
cv24p307_voting_behavior,cda,200,6063,0.03298697014679202
cv24p307_voting_behavior,sp,186,6063,0.030677882236516577
cv24p307_voting_behavior,bbb,155,6063,0.025564901863763815
cv24p307_voting_behavior,pvdd,152,6063,0.025070097311561932
cv24p307_voting_behavior,not_elligible,136,6063,0.02243113969981857
cv24p307_voting_behavior,cu,103,6063,0.01698828962559789
cv24p307_voting_behavior,volt,87,6063,0.014349332013854528
cv24p307_voting_behavior,sgp,78,6063,0.012864918357248886
cv24p307_voting_behavior,other,64,6063,0.010555830446973445
cv24p307_voting_behavior,denk,49,6063,0.008081807685964044
cv24p307_voting_behavior,fvd,47,6063,0.007751937984496124
cv24p307_voting_behavior,ja21,27,6063,0.004453240969816922
cv24p307_voting_behavior,blank,16,6063,0.002638957611743361
cv24p053_voted,yes,4685,6063,0.772719775688603
cv24p053_voted,,722,6063,0.11908296222991918
cv24p053_voted,no,520,6063,0.08576612238165925
cv24p053_voted,not_eligible,136,6063,0.02243113969981857
cv24p307_voting_behavior_populist,non_populist,3497,6063,0.5767771730166584
cv24p307_voting_behavior_populist,populist,1084,6063,0.17878937819561272
cv24p307_voting_behavior_populist,missing,826,6063,0.13623618670625104
cv24p307_voting_behavior_populist,not_voted,520,6063,0.08576612238165925
cv24p307_voting_behavior_populist,not_elligible,136,6063,0.02243113969981857
cbs_high_achieved_edu_degree_5_cat,,1877,6063,0.3095827148276431
cbs_high_achieved_edu_degree_5_cat,higher_vocational,1564,6063,0.25795810654791357
cbs_high_achieved_edu_degree_5_cat,bachelor,1200,6063,0.1979218208807521
cbs_high_achieved_edu_degree_5_cat,master_doctorate,762,6063,0.1256803562592776
cbs_high_achieved_edu_degree_5_cat,vocational,470,6063,0.07751937984496124
cbs_high_achieved_edu_degree_5_cat,primary,190,6063,0.03133762163945242
