variable_1,variable_2,correlation,n
cbs_age,cbs_change_purch_power,-0.09914442876913095,6063
cbs_age,cbs_gender_2_cat,0.0032026877068634203,6063
cbs_age,cbs_gross_income_percentile,0.044939295420731634,6063
cbs_age,cbs_high_achieved_edu_degree_5_cat,-0.0032225343197855244,6063
cbs_age,cbs_num_parents_abroad_3_cat,-0.11994403586724622,6063
cbs_age,cbs_purch_power_log,-0.04440361929399347,6063
cbs_age,cp24p010_happiness,0.1313845189663318,6063
cbs_age,cp24p012_feel_state,0.19123268211907288,6063
cbs_age,cp24p013_feel_trait,0.19019143049301784,6063
cbs_age,cp24p014_satisfaction,0.08837184148821309,6063
cbs_age,cp24p015_satisfaction,0.07204701902963592,6063
cbs_age,cp24p016_satisfaction,0.09610203631769892,6063
cbs_age,cp24p017_satisfaction,0.10179785897068733,6063
cbs_age,cp24p018_satisfaction,0.06271501847682275,6063
cbs_age,cp24p019_interpersonal_trust,0.1051565451815113,6063
cbs_age,cp24p020+_extraversion,0.007344729519357231,6063
cbs_age,cp24p021+_agreeableness,0.10237736510790686,6063
cbs_age,cp24p022+_conscientiousness,0.1932771895805913,6063
cbs_age,cp24p023+_emotional_stability,0.21207850671183745,6063
cbs_age,cp24p024+_imagination,0.002277044420599032,6063
cbs_age,cp24p070+_self_esteem,0.24851713745632484,6063
cbs_age,cp24p135_closeness,0.16915541206947726,6063
cbs_age,cp24p136+_social_desirability,0.27531358918325005,6063
cbs_age,cp24p198+_optimism,0.11319499587219911,6063
cbs_age,cv24p013_trust_government,-0.059724075635677054,6063
cbs_age,cv24p053_voted,-0.1418584413545013,6063
cbs_age,cv24p307_voting_behavior,0.048782157951653214,6063
cbs_age,cv24p307_voting_behavior_populist,-0.11831662602381629,6063
cbs_change_purch_power,cbs_age,-0.09914442876913095,6063
cbs_change_purch_power,cbs_gender_2_cat,0.008970610556186519,6063
cbs_change_purch_power,cbs_gross_income_percentile,-0.0033353044592840104,6063
cbs_change_purch_power,cbs_high_achieved_edu_degree_5_cat,-0.008922948436147323,6063
cbs_change_purch_power,cbs_num_parents_abroad_3_cat,0.021031309915723606,6063
cbs_change_purch_power,cbs_purch_power_log,-0.1147042715740695,6063
cbs_change_purch_power,cp24p010_happiness,-0.01699006724832484,6063
cbs_change_purch_power,cp24p012_feel_state,-0.006255062180973068,6063
cbs_change_purch_power,cp24p013_feel_trait,-0.03002100029711174,6063
cbs_change_purch_power,cp24p014_satisfaction,0.0011752800288835645,6063
cbs_change_purch_power,cp24p015_satisfaction,0.008272655146384941,6063
cbs_change_purch_power,cp24p016_satisfaction,0.006652818276327487,6063
cbs_change_purch_power,cp24p017_satisfaction,0.013388801871764633,6063
cbs_change_purch_power,cp24p018_satisfaction,-0.0007181686787048587,6063
